link,topic,likes,views,upload_year,subscriber_count,title,duration,description,channel_name
https://www.youtube.com/watch?v=3qSQGOzFUiA&pp=ygUfQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGdlYnJhIA%3D%3D,Algebra,15,861,2020.0,677K subscribers,Algebra | Additional Example 27 and 28 | Quantitative Aptitude | TalentSprint Aptitude Prep,,Subscribe @ ,TalentSprint Aptitude Prep
https://www.youtube.com/watch?v=MY85lI287rk&pp=ygUfQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGdlYnJhIA%3D%3D,Algebra,727,93K,2017.0,677K subscribers,Smart Methods and Techniques to Solve Questions from Algebra | TalentSprint Aptitude Prep,,"Subject: Quantitative Aptitude
Topic: Algebra
Sub-topic: Smart Methods and Techniques to Solve Questions from Algebra",TalentSprint Aptitude Prep
https://www.youtube.com/watch?v=5dlkQH7duzc&pp=ygUfQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGdlYnJhIA%3D%3D,Algebra,9.5K,267K,2022.0,97.9K subscribers,IBEW Electrical Apprenticeship Math Aptitude Test Prep - Top 12 Skills You Need to Pass,,If you are applying for an apprenticeship through IBEW then you need to pass the aptitude test. Typically students find the math test the most difficult. This video will give you practice and worked examples showing you how to do the most important parts of the test making your preparation much easier ,The Complete Guide to Everything
https://www.youtube.com/watch?v=tTomwopxKFE&pp=ygUfQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGdlYnJhIA%3D%3D,Algebra,28K,967K,,201K subscribers,Algebra 1 Basics for Beginners,,"Master the basics of Algebra 1 with our comprehensive video tutorials. Explore key topics like Equations, Inequalities, and Functions. Ideal for beginners, high school students, and those looking for a refresher. Clear explanations, step-by-step solutions, and practical examples included. Perfect for homework help, exam",UltimateAlgebra
https://www.youtube.com/watch?v=ay9P_Pmpb_M&pp=ygUfQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGdlYnJhINIHCQl-CQGHKiGM7w%3D%3D,Algebra,21K,675K,2021.0,129K subscribers,Grammar Hero's ASVAB Math Review: Back to the Basics of Arithmetic Reasoning (Free ASVAB Tutoring),,"In this video, I work out simple problems that should mirror what you may see at the beginning of the ASVAB. In order to get the most from this video, you should work out as many of these questions on your own as possible. Specifically, you should pause the video after I read a question, attempt to work out the question on your",Grammar Hero
https://www.youtube.com/watch?v=Ik6M-hOkP8A&pp=ygUfQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGdlYnJhIA%3D%3D,Algebra,74,5.2K,2020.0,677K subscribers,Algebra | Introduction to Algebra | Basic Example - 2 | TalentSprint Aptitude Prep,,"In this TalentSprint sesion on Algebra, our teachers will explain various applications and questions about Algebra with important examples to make you understand the topic better with an exam point of view. Our faculty will be explaining the important questions on Algebra with solutions, step by step. Watch this vid",TalentSprint Aptitude Prep
https://www.youtube.com/watch?v=owanjQL07us&pp=ygUfQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGdlYnJhIA%3D%3D,Algebra,7.5K,359K,,161K subscribers,NUMERICAL ABILITY REVIEWER | Math Random Problems,,"NUMERICAL ABILITY REVIEWER Math Random Problems

1. Twelve more than 30% of a number is 1/2 the number. Find the number.",NoMo Studio
https://www.youtube.com/watch?v=83UP5gyBObE&pp=ygUwQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGxpZ2F0aW9ucyBhbmQgbWl4dHVyZXMg,Alligations and mixtures,2,63,2023.0,63K subscribers,Examples of Alligation or Mixture 1 || Lesson 17.2 || Aptitude & Reasoning || Learning Monkey ||,,"Examples of Alligation or Mixture 1
In this class, We discuss Examples of Alligation or Mixture 1.
The reader should know the basics of alligation or mixture formulae. Click Here.",Learning Monkey
https://www.youtube.com/watch?v=u1OzWJh8Y6g&pp=ygUwQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGxpZ2F0aW9ucyBhbmQgbWl4dHVyZXMg,Alligations and mixtures,44,6.5K,2017.0,677K subscribers,Alligations and Mixtures | Advanced Example - 10 | TalentSprint Aptitude Prep,,Subscribe @ ,TalentSprint Aptitude Prep
https://www.youtube.com/watch?v=ovX2siB6xLc&pp=ygUwQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGxpZ2F0aW9ucyBhbmQgbWl4dHVyZXMg,Alligations and mixtures,126,5.2K,2018.0,677K subscribers,Alligations and Mixtures | Additional Example - 23 | TalentSprint Aptitude Prep,,Subscribe @ ,TalentSprint Aptitude Prep
https://www.youtube.com/watch?v=PQ8ux_3hdT4&pp=ygUwQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGxpZ2F0aW9ucyBhbmQgbWl4dHVyZXMg,Alligations and mixtures,16K,862K,2021.0,1.73M subscribers,Alligation and Mixture || LESSON-1 || Removed and Replaced,,#FeelFreetoLearn,Feel Free to Learn
https://www.youtube.com/watch?v=mmJI_uVbrxw&pp=ygUwQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGxpZ2F0aW9ucyBhbmQgbWl4dHVyZXMg,Alligations and mixtures,3.7K,65K,,118K subscribers,PART 1 - Mixture & Alligation ( à¤®à¤¿à¤¶à¥à¤°à¤£à¥‡ ) | à¤…à¤‚à¤•à¤—à¤£à¤¿à¤¤ | #mixture #IBPS #mpsc #ssc#Maths #à¤®à¥à¤‚à¤¬à¤ˆà¤ªà¥‹à¤²à¥€à¤¸,,Telegram - ,"Amol Patil's Math & Reasoning Academy, à¤›.à¤¸à¤‚à¤­à¤¾à¤œà¥€à¤¨à¤—à¤°"
